0.5,0.348665660308762
1,0.656222362075611
1.5,0.927390440932534
2,1.16689023251152
2.5,1.37944207244455
3,1.56976629636361
3.5,1.7425832399007
4,1.9026132386878
4.5,2.05410352658525
5,2.19881351677044
5.5,2.3376877468283
6,2.47167028388523
6.5,2.60170519506763
7,2.72873654750189
7.5,2.85370840831442
8,2.97756484463161
8.5,3.10081854140802
9,3.22097669456916
9.5,3.3342677401949
10,3.43691540977963
10.5,3.52514343481777
11,3.59517554680372
11.5,3.6432354772319
12,3.66554695759673
12.5,3.65881885385363
13,3.62431141638121
13.5,3.56577550892371
14,3.48698739998674
14.5,3.39172335807588
15,3.28375965169671
15.5,3.16687254935483
16,3.04483831955584
16.5,2.92122990143093
17,2.79698249423405
17.5,2.67118966752227
18,2.54290735416917
18.5,2.41119148704837
19,2.27509799903346
19.5,2.13368282299806
20,1.98600189181575
20.5,1.83100856656698
21,1.66573984978444
21.5,1.48553421315405
22,1.28567132104381
22.5,1.06143083782175
23,0.808092427855868
23.5,0.520935755514182
24,0.195240485164706
