0.5,-0.7041015625
1,-1.3203125
1.5,-1.8544921875
2,-2.3125
2.5,-2.7001953125
3,-3.0234375
3.5,-3.2880859375
4,-3.5
4.5,-3.6650390625
5,-3.7890625
5.5,-3.8779296875
6,-3.9375
6.5,-3.9736328125
7,-3.9921875
7.5,-3.9990234375
8,-4
8.5,-3.99934895833333
9,-3.99479166666667
9.5,-3.982421875
10,-3.95833333333333
10.5,-3.91861979166667
11,-3.859375
11.5,-3.77669270833333
12,-3.66666666666667
12.5,-3.52669270833333
13,-3.359375
13.5,-3.16861979166667
14,-2.95833333333333
14.5,-2.732421875
15,-2.49479166666667
15.5,-2.24934895833333
16,-2
16.5,-1.75065104166667
17,-1.50520833333333
17.5,-1.267578125
18,-1.04166666666667
18.5,-0.831380208333333
19,-0.640625
19.5,-0.473307291666667
20,-0.333333333333333
20.5,-0.223958333333333
21,-0.145833333333333
21.5,-0.0989583333333333
22,-0.0833333333333333
22.5,-0.0989583333333333
23,-0.145833333333333
23.5,-0.223958333333333
24,-0.333333333333333
24.5,-0.473307291666667
25,-0.640625
25.5,-0.831380208333333
26,-1.04166666666667
26.5,-1.267578125
27,-1.50520833333333
27.5,-1.75065104166667
28,-2
28.5,-2.24934895833333
29,-2.49479166666667
29.5,-2.732421875
30,-2.95833333333333
30.5,-3.16861979166667
31,-3.359375
31.5,-3.52669270833333
32,-3.66666666666667
32.5,-3.77669270833333
33,-3.859375
33.5,-3.91861979166667
34,-3.95833333333333
34.5,-3.982421875
35,-3.99479166666667
35.5,-3.99934895833333
36,-4
36.5,-3.9990234375
37,-3.9921875
37.5,-3.9736328125
38,-3.9375
38.5,-3.8779296875
39,-3.7890625
39.5,-3.6650390625
40,-3.5
40.5,-3.2880859375
41,-3.0234375
41.5,-2.7001953125
42,-2.3125
42.5,-1.8544921875
43,-1.3203125
43.5,-0.7041015625
44,0
